kind,stand,stand_label,id,tree_num,position,bearing_deg,distance_m,east_m,north_m,latitude,longitude,dbh_cm,disease_initial,disease_2_mai,disease_4_mai,audpc_adj_2mai,audpc_adj_4mai,months
tree,no_fungus_control,No-fungus control,no_fungus_control-T44,44,,290,5.35,-5.027,1.83,37.31737649,-76.88531672,6.670189299049207,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T45,45,,330,7.2,-3.6,6.235,37.31741618,-76.88530061,6.468062350593172,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T46,46,,345,9.2,-2.381,8.887,37.31744007,-76.88528686,13.74463249501049,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T47,47,,330,9.5,-4.75,8.227,37.31743413,-76.88531359,8.89358573206561,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T48,48,,327,10,-5.446,8.387,37.31743557,-76.88532144,12.1276169073622,1,1,1,0,0,
soil,virulent,Virulent strain,virulent-S-Stand centre,,Stand centre,,0,0.0,0.0,37.31775,-76.88661,,,,,,,may;july;september
soil,virulent,Virulent strain,virulent-S-10 m @ 000°,,10 m @ 000°,0,10,0.0,10.0,37.3178401,-76.88661,,,,,,,may;july;september
soil,virulent,Virulent strain,virulent-S-10 m @ 090°,,10 m @ 090°,90,10,10.0,0.0,37.31775,-76.88649718,,,,,,,may;july;september
soil,virulent,Virulent strain,virulent-S-10 m @ 180°,,10 m @ 180°,180,10,0.0,-10.0,37.3176599,-76.88661,,,,,,,may;july;september
soil,virulent,Virulent strain,virulent-S-10 m @ 270°,,10 m @ 270°,270,10,-10.0,-0.0,37.31775,-76.88672282,,,,,,,may;july;september
soil,attenuated,Formerly attenuated strain,attenuated-S-Stand centre,,Stand centre,,0,0.0,0.0,37.31794,-76.88636,,,,,,,may;july;september
soil,attenuated,Formerly attenuated strain,attenuated-S-10 m @ 000°,,10 m @ 000°,0,10,0.0,10.0,37.3180301,-76.88636,,,,,,,may;july;september
soil,attenuated,Formerly attenuated strain,attenuated-S-10 m @ 090°,,10 m @ 090°,90,10,10.0,0.0,37.31794,-76.88624718,,,,,,,may;july;september
soil,attenuated,Formerly attenuated strain,attenuated-S-10 m @ 180°,,10 m @ 180°,180,10,0.0,-10.0,37.3178499,-76.88636,,,,,,,may;july;september
soil,attenuated,Formerly attenuated strain,attenuated-S-10 m @ 270°,,10 m @ 270°,270,10,-10.0,-0.0,37.31794,-76.88647282,,,,,,,may;july;september
soil,no_fungus_control,No-fungus control,no_fungus_control-S-Stand centre,,Stand centre,,0,0.0,0.0,37.31736,-76.88526,,,,,,,may;july;september
soil,no_fungus_control,No-fungus control,no_fungus_control-S-10 m @ 000°,,10 m @ 000°,0,10,0.0,10.0,37.3174501,-76.88526,,,,,,,may;july;september
soil,no_fungus_control,No-fungus control,no_fungus_control-S-10 m @ 090°,,10 m @ 090°,90,10,10.0,0.0,37.31736,-76.88514718,,,,,,,may;july;september
soil,no_fungus_control,No-fungus control,no_fungus_control-S-10 m @ 180°,,10 m @ 180°,180,10,0.0,-10.0,37.3172699,-76.88526,,,,,,,may;july;september
soil,no_fungus_control,No-fungus control,no_fungus_control-S-10 m @ 270°,,10 m @ 270°,270,10,-10.0,-0.0,37.31736,-76.88537282,,,,,,,may;july;september
