kind,stand,stand_label,id,tree_num,position,bearing_deg,distance_m,east_m,north_m,latitude,longitude,dbh_cm,disease_initial,disease_2_mai,disease_4_mai,audpc_adj_2mai,audpc_adj_4mai,months
tree,attenuated,Formerly attenuated strain,attenuated-T39,39,,90,4.5,4.5,0.0,37.31794,-76.88630923,3.638285072208659,1,1,2,0,0.5,
tree,attenuated,Formerly attenuated strain,attenuated-T40,40,,75,7.55,7.293,1.954,37.31795761,-76.88627773,5.659554556769025,1,1,2,0,0.5,
tree,attenuated,Formerly attenuated strain,attenuated-T41,41,,80,6.8,6.697,1.181,37.31795064,-76.88628445,10.91485521662598,1,1,2,0,0.5,
tree,attenuated,Formerly attenuated strain,attenuated-T42,42,,80,6.15,6.057,1.068,37.31794962,-76.88629167,3.234031175296586,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T43,43,,85,4.9,4.881,0.427,37.31794385,-76.88630493,3.234031175296586,1,1,2,0,0.5,
tree,attenuated,Formerly attenuated strain,attenuated-T44,44,,95,3.82,3.805,-0.333,37.317937,-76.88631707,1.617015587648293,1,1,2,0,0.5,
tree,attenuated,Formerly attenuated strain,attenuated-T45,45,,85,2.2,2.192,0.192,37.31794173,-76.88633527,6.468062350593172,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T46,46,,87,2.4,2.397,0.126,37.31794113,-76.88633296,10.91485521662598,1,1,2,0,0.5,
tree,attenuated,Formerly attenuated strain,attenuated-T47,47,,85,5.5,5.479,0.479,37.31794432,-76.88629819,4.648919814488842,1,1,2,0,0.5,
tree,attenuated,Formerly attenuated strain,attenuated-T48,48,,55,4.9,4.014,2.811,37.31796532,-76.88631472,8.287204886697502,1,1,2,0,0.5,
tree,attenuated,Formerly attenuated strain,attenuated-T49,49,,50,4.75,3.639,3.053,37.31796751,-76.88631895,9.702093525889756,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T50,50,,40,5.55,3.567,4.252,37.31797831,-76.88631975,1.617015587648293,1,1,2,0,0.5,
tree,attenuated,Formerly attenuated strain,attenuated-T51,51,,40,5.65,3.632,4.328,37.317979,-76.88631903,1.21276169073622,1,1,2,0,0.5,
tree,attenuated,Formerly attenuated strain,attenuated-T52,52,,45,6.8,4.808,4.808,37.31798332,-76.88630575,12.53187080427427,1,1,2,0,0.5,
tree,attenuated,Formerly attenuated strain,attenuated-T53,53,,42,7.4,4.952,5.499,37.31798955,-76.88630414,6.063808453681098,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T54,54,,50,4.55,3.486,2.925,37.31796635,-76.88632068,3.234031175296586,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T55,55,,50,8.2,6.282,5.271,37.31798749,-76.88628913,10.5106013197139,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T56,56,,20,8,2.736,7.518,37.31800774,-76.88632913,6.468062350593172,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T57,57,,15,8.2,2.122,7.921,37.31801137,-76.88633606,4.851046762944878,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T58,58,,5,8.84,0.77,8.806,37.31801935,-76.88635131,3.234031175296586,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T59,59,,355,6.65,-0.58,6.625,37.31799969,-76.88636654,5.457427608312988,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T60,60,,350,7.92,-1.375,7.8,37.31801028,-76.88637552,6.468062350593172,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T61,61,,355,8.2,-0.715,8.169,37.3180136,-76.88636806,1.21276169073622,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T62,62,,350,8.65,-1.502,8.519,37.31801676,-76.88637695,0.8085077938241465,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T63,63,,310,9.5,-7.277,6.106,37.31799502,-76.8864421,7.680824041329392,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T64,64,,290,7.05,-6.625,2.411,37.31796173,-76.88643474,1.010634742280183,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T65,65,,290,5.1,-4.792,1.744,37.31795572,-76.88641407,1.21276169073622,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T66,66,,285,6.55,-6.327,1.695,37.31795527,-76.88643138,7.276570144417318,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T67,67,,270,7.9,-7.9,-0.0,37.31794,-76.88644912,3.234031175296586,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T68,68,,265,7.75,-7.721,-0.675,37.31793391,-76.8864471,4.042538969120733,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T69,69,,265,5.7,-5.678,-0.497,37.31793552,-76.88642406,1.21276169073622,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T70,70,,245,3.15,-2.855,-1.331,37.31792801,-76.88639221,3.880837410355903,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T71,71,,230,3.95,-3.026,-2.539,37.31791712,-76.88639414,5.659554556769025,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T72,72,,225,5.7,-4.031,-4.031,37.31790368,-76.88640547,13.34037859809841,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T73,73,,223,5.9,-4.024,-4.315,37.31790112,-76.88640539,11.31910911353805,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T74,74,,215,7.8,-4.474,-6.389,37.31788243,-76.88641047,2.425523381472439,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T75,75,,195,6.9,-1.786,-6.665,37.31787995,-76.88638015,8.89358573206561,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T76,76,,190,6.4,-1.111,-6.303,37.31788321,-76.88637254,1.414888639192256,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T77,77,,185,5.7,-0.497,-5.678,37.31788884,-76.8863656,1.617015587648293,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T78,78,,180,3.7,0.0,-3.7,37.31790666,-76.88636,1.819142536104329,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T1,1,,360,2.05,-0.0,2.05,37.31776847,-76.88661,13.208,1,1,5,0,2,
tree,virulent,Virulent strain,virulent-T2,2,,355,2.05,-0.179,2.042,37.3177684,-76.88661202,8.89,1,1,2,0,3.5,
tree,virulent,Virulent strain,virulent-T3,3,,320,3.1,-1.993,2.375,37.3177714,-76.88663248,20.066,1,5,2,4,6.5,
tree,virulent,Virulent strain,virulent-T4,4,,295,3.5,-3.172,1.479,37.31776333,-76.88664579,13.97,1,5,5,4,8,
tree,virulent,Virulent strain,virulent-T5,5,,303,4.4,-3.69,2.396,37.31777159,-76.88665163,12.7,1,5,5,4,8,
tree,virulent,Virulent strain,virulent-T6,6,,305,4.4,-3.604,2.524,37.31777274,-76.88665066,14.732,1,4,2,3.5,8.5,
tree,virulent,Virulent strain,virulent-T7,7,,265,6.85,-6.824,-0.597,37.31774462,-76.88668698,12.192,1,5,1,5,7,
tree,virulent,Virulent strain,virulent-T8,8,,255,7.8,-7.534,-2.019,37.31773181,-76.886695,9.398,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T9,9,,240,7.3,-6.322,-3.65,37.31771711,-76.88668132,10.414,1,5,1,4,6,
tree,virulent,Virulent strain,virulent-T10,10,,240,7.1,-6.149,-3.55,37.31771801,-76.88667937,8.89,1,3,5,1,7,
tree,virulent,Virulent strain,virulent-T11,11,,245,6.1,-5.528,-2.578,37.31772677,-76.88667237,9.398,1,1,5,0,2,
tree,virulent,Virulent strain,virulent-T12,12,,240,4.4,-3.811,-2.2,37.31773018,-76.88665299,8.89,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T13,13,,240,2.3,-1.992,-1.15,37.31773964,-76.88663247,10.16,1,1,5,0,2,
tree,virulent,Virulent strain,virulent-T14,14,,110,0.85,0.799,-0.291,37.31774738,-76.88660099,10.16,1,5,5,5,9,
tree,virulent,Virulent strain,virulent-T15,15,,80,3.35,3.299,0.582,37.31775524,-76.88657278,14.224,1,5,1,6,8,
tree,virulent,Virulent strain,virulent-T16,16,,5,7.1,0.619,7.073,37.31781373,-76.88660302,12.7,1,1,1,0,3,
tree,virulent,Virulent strain,virulent-T17,17,,15,5.3,1.372,5.119,37.31779613,-76.88659452,13.97,1,1,5,0,2,
tree,virulent,Virulent strain,virulent-T18,18,,10,5.8,1.007,5.712,37.31780147,-76.88659864,10.414,1,5,2,5,10.5,
tree,virulent,Virulent strain,virulent-T19,19,,20,8.6,2.941,8.081,37.31782282,-76.88657682,16.764,1,1,5,0,2,
tree,virulent,Virulent strain,virulent-T20,20,,20,9.6,3.283,9.021,37.31783128,-76.88657296,17.018,1,5,1,5,10,
tree,virulent,Virulent strain,virulent-T21,21,,10,2.35,0.408,2.314,37.31777085,-76.8866054,6.063808453681098,1,1,2,0,0.5,
tree,virulent,Virulent strain,virulent-T22,22,,20,2.35,0.804,2.208,37.3177699,-76.88660093,4.446792866032805,1,1,5,0,2,
tree,virulent,Virulent strain,virulent-T23,23,,50,3.4,2.605,2.185,37.31776969,-76.88658062,2.627650329928476,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T24,24,,70,4.15,3.9,1.419,37.31776279,-76.886566,8.085077938241465,1,1,2,0,0.5,
tree,virulent,Virulent strain,virulent-T25,25,,70,5.15,4.839,1.761,37.31776587,-76.8865554,6.872316247505244,1,1,2,0,0.5,
tree,virulent,Virulent strain,virulent-T26,26,,45,5.15,3.642,3.642,37.31778281,-76.88656892,6.468062350593172,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T27,27,,50,7,5.362,4.5,37.31779054,-76.8865495,3.031904226840549,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T28,28,,30,5.65,2.825,4.893,37.31779409,-76.88657813,1.21276169073622,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T29,29,,30,8.55,4.275,7.405,37.31781672,-76.88656177,2.829777278384512,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T30,30,,75,9.8,9.466,2.536,37.31777285,-76.88650321,8.287204886697502,1,1,5,0,2,
tree,virulent,Virulent strain,virulent-T31,31,,80,9.4,9.257,1.632,37.31776471,-76.88650556,8.89358573206561,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T32,32,,80,9.9,9.75,1.719,37.31776549,-76.88650001,2.425523381472439,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T33,33,,80,9,8.863,1.563,37.31776408,-76.88651001,8.287204886697502,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T34,34,,80,8.1,7.977,1.407,37.31776267,-76.88652001,9.702093525889756,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T35,35,,95,6.7,6.675,-0.584,37.31774474,-76.8865347,7.478697092873355,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T36,36,,92,7,6.996,-0.244,37.3177478,-76.88653108,3.638285072208659,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T37,37,,120,4.68,4.053,-2.34,37.31772892,-76.88656428,2.829777278384512,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T38,38,,130,4.45,3.409,-2.86,37.31772423,-76.88657154,8.085077938241465,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T39,39,,130,4.78,3.662,-3.073,37.31772232,-76.88656869,0.8085077938241465,1,1,5,0,2,
tree,virulent,Virulent strain,virulent-T40,40,,140,6.1,3.921,-4.673,37.3177079,-76.88656576,2.425523381472439,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T41,41,,150,4.05,2.025,-3.507,37.3177184,-76.88658715,0.8085077938241465,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T42,42,,180,3.55,0.0,-3.55,37.31771801,-76.88661,2.425523381472439,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T43,43,,230,0.4,-0.306,-0.257,37.31774768,-76.88661346,3.234031175296586,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T44,44,,230,1.1,-0.843,-0.707,37.31774363,-76.88661951,2.829777278384512,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T45,45,,275,1,-0.996,0.087,37.31775079,-76.88662124,8.085077938241465,1,1,5,0,2,
tree,virulent,Virulent strain,virulent-T46,46,,273,1.6,-1.598,0.084,37.31775075,-76.88662803,3.234031175296586,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T47,47,,275,1.8,-1.793,0.157,37.31775141,-76.88663023,2.425523381472439,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T48,48,,320,2.55,-1.639,1.953,37.3177676,-76.88662849,3.234031175296586,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T49,49,,320,3.45,-2.218,2.643,37.31777381,-76.88663502,1.617015587648293,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T50,50,,330,3.45,-1.725,2.988,37.31777692,-76.88662946,3.234031175296586,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T51,51,,320,4.5,-2.893,3.447,37.31778106,-76.88664263,3.234031175296586,1,1,5,0,2,
tree,virulent,Virulent strain,virulent-T52,52,,335,4.2,-1.775,3.806,37.3177843,-76.88663002,6.063808453681098,1,1,2,0,0.5,
tree,virulent,Virulent strain,virulent-T53,53,,345,4.5,-1.165,4.347,37.31778916,-76.88662314,6.387211571210758,1,1,5,0,2,
tree,virulent,Virulent strain,virulent-T54,54,,350,4.8,-0.834,4.727,37.31779259,-76.8866194,2.425523381472439,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T55,55,,345,5,-1.294,4.83,37.31779352,-76.8866246,3.234031175296586,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T56,56,,350,4.55,-0.79,4.481,37.31779037,-76.88661891,5.659554556769025,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T57,57,,300,5.4,-4.677,2.7,37.31777433,-76.88666276,4.042538969120733,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T58,58,,300,5.8,-5.023,2.9,37.31777613,-76.88666667,1.617015587648293,1,1,5,0,2,
tree,virulent,Virulent strain,virulent-T59,59,,295,5.55,-5.03,2.346,37.31777113,-76.88666675,3.234031175296586,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T60,60,,20,3.4,1.163,3.195,37.31777879,-76.88659688,8.085077938241465,1,1,1,0,0,
tree,virulent,Virulent strain,virulent-T61,61,,20,2.35,0.804,2.208,37.3177699,-76.88660093,2.627650329928476,1,1,2,0,0.5,
tree,no_fungus_control,No-fungus control,no_fungus_control-T1,1,,160,1.95,0.667,-1.832,37.31734349,-76.88525248,18.542,1,1,1,0,0,
tree,no_fungus_control,No-fungus control,no_fungus_control-T2,2,,220,0.8,-0.514,-0.613,37.31735448,-76.8852658,12.446,1,1,2,0,1.5,
tree,no_fungus_control,No-fungus control,no_fungus_control-T3,3,,350,0.6,-0.104,0.591,37.31736532,-76.88526118,19.558,1,1,1,0,0,
